id: b449802a-7400-4a60-b9bc-b2f0ae9f9a2c, total_duration_in_sec: 2152.922, numFiles_prod_in_sec: 2130, numFiles_temp_in_sec: 1350
id: b4be4483-bfa3-4677-a102-6990335e74ef, total_duration_in_sec: 7542.879, numFiles_prod_in_sec: 7530, numFiles_temp_in_sec: 6675
id: b4e508ed-d946-4053-9d67-2af0e6979080, total_duration_in_sec: 16362.371, numFiles_prod_in_sec: 16245, numFiles_temp_in_sec: 14460
id: b5561d06-2e74-429e-900c-69de5aac1da2, total_duration_in_sec: 3819.424, numFiles_prod_in_sec: 3795, numFiles_temp_in_sec: 1725
id: b59faf3c-f358-4a93-872a-3aaf0adcb937, total_duration_in_sec: 2013.816, numFiles_prod_in_sec: 1965, numFiles_temp_in_sec: 420
id: b5d7a6d6-5cbb-4048-b6c4-e6d578cc6f8a, total_duration_in_sec: 2796.598, numFiles_prod_in_sec: 2745, numFiles_temp_in_sec: 1725
id: b643d510-3b30-427c-beb4-5ff490f97a3a, total_duration_in_sec: 5832.419, numFiles_prod_in_sec: 5685, numFiles_temp_in_sec: 2760
id: b6902026-3116-465f-9179-40322c49aeca, total_duration_in_sec: 4128.151, numFiles_prod_in_sec: 4110, numFiles_temp_in_sec: 1215
id: b6e2e660-535b-446a-8f5f-a3d79052ea84, total_duration_in_sec: 2620.302, numFiles_prod_in_sec: 2610, numFiles_temp_in_sec: 45
id: b706b9f4-cafb-465c-9104-1fde8705a436, total_duration_in_sec: 1258.22, numFiles_prod_in_sec: 1230, numFiles_temp_in_sec: 15
id: b8e1edf3-d0f7-487e-9816-636723c13061, total_duration_in_sec: 5765.293, numFiles_prod_in_sec: 5700, numFiles_temp_in_sec: 3315
id: ba5179e9-8457-4d38-9d04-f15d7dbb2740, total_duration_in_sec: 3245.162, numFiles_prod_in_sec: 3180, numFiles_temp_in_sec: 240
id: baac0d77-3b09-4297-91ed-6b46f932a1d2, total_duration_in_sec: 3730.521, numFiles_prod_in_sec: 3720, numFiles_temp_in_sec: 1380
id: bb979792-aecf-4aa3-a0d2-5e64a8db2d68, total_duration_in_sec: 3388.056, numFiles_prod_in_sec: 3345, numFiles_temp_in_sec: 1920
id: bc0d1d2e-eba0-40f0-bccd-64dc13db149b, total_duration_in_sec: 2314.926, numFiles_prod_in_sec: 2295, numFiles_temp_in_sec: 15
id: bc36f97d-c429-4df8-b999-bf4a3a065272, total_duration_in_sec: 5295.864, numFiles_prod_in_sec: 5235, numFiles_temp_in_sec: 3045
id: bd803f34-33a7-4475-8dde-2e1c7c49e01b, total_duration_in_sec: 1802.036, numFiles_prod_in_sec: 1785, numFiles_temp_in_sec: 300
id: bdd85969-01c9-425e-ab9e-2c55ff8b7f8c, total_duration_in_sec: 4118.373, numFiles_prod_in_sec: 4035, numFiles_temp_in_sec: 1290
id: bea9505f-f38b-4215-b32e-d4962c2a18b7, total_duration_in_sec: 1347.851, numFiles_prod_in_sec: 1335, numFiles_temp_in_sec: 540
id: beeea745-bf36-48a7-beb8-25f7d821afe7, total_duration_in_sec: 1144.875, numFiles_prod_in_sec: 1110, numFiles_temp_in_sec: 30
id: bf5348d2-6620-43cb-a633-6768aaf24003, total_duration_in_sec: 4109.697, numFiles_prod_in_sec: 4050, numFiles_temp_in_sec: 135
id: bfcfb611-ca7d-4d28-ae05-ce5337f8c05a, total_duration_in_sec: 5097.841, numFiles_prod_in_sec: 5070, numFiles_temp_in_sec: 2265
id: c0438d51-5756-49a6-b731-6d0ee59aeba6, total_duration_in_sec: 1440.07, numFiles_prod_in_sec: 1425, numFiles_temp_in_sec: 465
id: c053b843-63d0-4305-8490-8029a4173275, total_duration_in_sec: 1923.549, numFiles_prod_in_sec: 1905, numFiles_temp_in_sec: 645
id: c09ac93b-cfd2-4144-b53d-85a3929e12d6, total_duration_in_sec: 1996.961, numFiles_prod_in_sec: 1950, numFiles_temp_in_sec: 345
id: c15377ba-c705-4c5e-b128-36ced205d8ce, total_duration_in_sec: 1449.882, numFiles_prod_in_sec: 1440, numFiles_temp_in_sec: 135
id: c18803b5-001d-465e-98f1-e341a107cc0c, total_duration_in_sec: 1971.791, numFiles_prod_in_sec: 1950, numFiles_temp_in_sec: 240
id: c243ef7c-8600-4e58-902e-56a54f9cce3c, total_duration_in_sec: 6071.439, numFiles_prod_in_sec: 5985, numFiles_temp_in_sec: 5055
id: c251bd51-4fc5-4c9f-96dc-bca1a5557e82, total_duration_in_sec: 3516.441, numFiles_prod_in_sec: 3495, numFiles_temp_in_sec: 300
id: c2ae286c-6a5b-4472-bc99-8db84f2e0b8d, total_duration_in_sec: 11842.917, numFiles_prod_in_sec: 11700, numFiles_temp_in_sec: 10245
